CLIENTNUM,Churn_Probability,Customer_Value,Optimal_Action,Intervention_Cost,Expected_Incremental_Profit,Customer ROI
772273983,98.54%,0.4025,RETENTION,100,19.00,19.00%
812671758,96.49%,0.4108,RETENTION,100,18.92,18.92%
713717283,96.23%,0.4116,RETENTION,100,18.83,18.83%
712240083,95.74%,0.4116,RETENTION,100,18.23,18.23%
770596458,93.52%,0.4213,RETENTION,100,18.20,18.20%
710524533,95.39%,0.413,RETENTION,100,18.18,18.18%
787493808,86.05%,0.4571,RETENTION,100,17.99,17.99%
716510658,88.94%,0.4412,RETENTION,100,17.73,17.73%
781306758,88.04%,0.4445,RETENTION,100,17.41,17.41%
710658483,97.99%,0.3985,RETENTION,100,17.14,17.14%
779315508,85.65%,0.4515,RETENTION,100,16.01,16.01%
721104708,97.40%,0.3967,RETENTION,100,15.90,15.90%
720597108,64.22%,0.6006,RETENTION,100,15.72,15.72%
721274208,96.71%,0.3977,RETENTION,100,15.39,15.39%
716717733,92.11%,0.4172,RETENTION,100,15.28,15.28%
709865883,94.23%,0.4068,RETENTION,100,15.00,15.00%
720007383,93.49%,0.4098,RETENTION,100,14.93,14.93%
717477783,92.04%,0.4148,RETENTION,100,14.54,14.54%
713722608,86.43%,0.4412,RETENTION,100,14.38,14.38%
719318583,97.36%,0.3914,RETENTION,100,14.32,14.32%
795784008,86.51%,0.4403,RETENTION,100,14.28,14.28%
711448983,99.31%,0.3818,RETENTION,100,13.76,13.76%
714620358,82.98%,0.4563,RETENTION,100,13.59,13.59%
716873733,80.29%,0.4711,RETENTION,100,13.47,13.47%
708536283,80.13%,0.4715,RETENTION,100,13.35,13.35%
718515483,76.66%,0.4928,RETENTION,100,13.33,13.33%
716977758,84.41%,0.4468,RETENTION,100,13.15,13.15%
710639658,86.25%,0.4371,RETENTION,100,13.11,13.11%
739594758,91.72%,0.4103,RETENTION,100,12.89,12.89%
716963283,79.21%,0.4748,RETENTION,100,12.83,12.83%
778643733,72.43%,0.5192,RETENTION,100,12.81,12.81%
715858008,88.25%,0.4238,RETENTION,100,12.20,12.20%
753795633,80.98%,0.4607,RETENTION,100,11.91,11.91%
827117808,88.41%,0.4208,RETENTION,100,11.61,11.61%
708369633,72.59%,0.5112,RETENTION,100,11.33,11.33%
714213708,81.41%,0.4557,RETENTION,100,11.30,11.30%
716022258,93.08%,0.398,RETENTION,100,11.12,11.12%
710752233,87.03%,0.4246,RETENTION,100,10.86,10.86%
778378983,90.52%,0.4076,RETENTION,100,10.69,10.69%
708083283,88.47%,0.4161,RETENTION,100,10.43,10.43%
711838008,99.01%,0.3701,RETENTION,100,9.94,9.94%
720711483,77.97%,0.47,RETENTION,100,9.94,9.94%
714045783,99.45%,0.3674,RETENTION,100,9.60,9.60%
708948483,94.43%,0.3858,RETENTION,100,9.28,9.28%
717579258,97.05%,0.3749,RETENTION,100,9.17,9.17%
720519333,98.45%,0.3691,RETENTION,100,9.02,9.02%
716643033,85.90%,0.4221,RETENTION,100,8.77,8.77%
816476658,98.96%,0.3662,RETENTION,100,8.73,8.73%
712895733,99.37%,0.3629,RETENTION,100,8.19,8.19%
716863458,99.75%,0.3595,RETENTION,100,7.57,7.57%
714751158,80.88%,0.4427,RETENTION,100,7.41,7.41%
711666708,98.00%,0.3638,RETENTION,100,6.97,6.97%
711144183,97.91%,0.3641,RETENTION,100,6.94,6.94%
820282383,79.24%,0.4497,RETENTION,100,6.92,6.92%
715847058,99.01%,0.3596,RETENTION,100,6.82,6.82%
713530833,98.33%,0.3585,RETENTION,100,5.76,5.76%
709444983,84.16%,0.4182,RETENTION,100,5.59,5.59%
714684108,99.34%,0.3538,RETENTION,100,5.43,5.43%
754443033,99.12%,0.3536,RETENTION,100,5.14,5.14%
789684258,65.10%,0.5383,RETENTION,100,5.13,5.13%
714237033,83.76%,0.4167,RETENTION,100,4.69,4.69%
719657583,76.94%,0.4506,RETENTION,100,4.00,4.00%
714519408,88.38%,0.389,RETENTION,100,3.13,3.13%
772695033,78.88%,0.4356,RETENTION,100,3.07,3.07%
718934058,74.02%,0.463,RETENTION,100,2.81,2.81%
708733983,78.87%,0.4338,RETENTION,100,2.64,2.64%
712509108,98.53%,0.3465,RETENTION,100,2.41,2.41%
720444408,95.70%,0.3536,RETENTION,100,1.52,1.52%
772341783,76.23%,0.4431,RETENTION,100,1.33,1.33%
814091058,72.14%,0.4662,RETENTION,100,0.88,0.88%
714246333,98.88%,0.3398,RETENTION,100,0.81,0.81%
716099958,85.45%,0.3914,RETENTION,100,0.34,0.34%
771795933,72.19%,0.4623,RETENTION,100,0.12,0.12%
