CLIENTNUM,Attrition_Flag,Churn_Probability,Customer_Value,Total_Trans_Amt,Total_Trans_Ct,Total_Revolving_Bal,Credit_Limit,Avg_Utilization_Ratio,Months_Inactive_12_mon,Recommended_Action,Optimal_Action,Expected_Incremental_Profit,Intervention_Cost,Expected_ROI,Churn_Risk,Customer_Value_Tier
816082233,Existing Customer,0.0005,0.2915,1311,33,1666,8547.0,0.195,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
712396908,Existing Customer,0.0013,0.1434,1570,29,680,2436.0,0.279,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
714885258,Existing Customer,0.0005,0.1824,1348,27,972,4234.0,0.23,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
709967358,Existing Customer,0.0014,0.4141,1671,27,2362,30367.0,0.078,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
753327333,Existing Customer,0.0056,0.2225,1028,21,1291,13535.0,0.095,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
806160108,Existing Customer,0.0039,0.4276,1336,30,2517,3193.0,0.788,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
709327383,Existing Customer,0.0009,0.2071,1207,21,1157,14470.0,0.08,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
806165208,Existing Customer,0.0007,0.3084,1178,27,1800,20979.0,0.086,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
708508758,Attrited Customer,0.9921,0.0061,692,16,0,1438.3,0.0,3,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
784725333,Existing Customer,0.0065,0.1221,931,18,680,4470.0,0.152,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
811604133,Existing Customer,0.053,0.2685,1126,23,1560,2492.0,0.626,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
789124683,Existing Customer,0.0435,0.02,1110,21,0,12217.0,0.0,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
771071958,Existing Customer,0.0075,0.2833,1051,22,1669,7768.0,0.215,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
720466383,Existing Customer,0.0007,0.2413,1197,23,1374,14784.0,0.093,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
804424383,Existing Customer,0.01,0.207,1904,40,1010,10215.0,0.099,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
718813833,Existing Customer,0.0503,0.0181,1052,18,0,10100.0,0.0,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
806624208,Existing Customer,0.0034,0.2343,1045,38,1362,4785.0,0.285,0,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
778348233,Existing Customer,0.0239,0.3054,1038,25,1811,2753.0,0.658,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
712991808,Existing Customer,0.0018,0.3048,1596,26,1690,2451.0,0.69,5,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
709029408,Existing Customer,0.0004,0.436,1589,24,2517,8923.0,0.282,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
788658483,Existing Customer,0.0002,0.2669,1411,28,1490,2650.0,0.562,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
787937058,Existing Customer,0.0012,0.2956,1291,24,1696,12555.0,0.135,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
715318008,Existing Customer,0.011,0.3341,1407,43,1914,3520.0,0.544,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
713962233,Existing Customer,0.0009,0.4108,1877,37,2298,3035.0,0.757,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
785432733,Existing Customer,0.922,0.0152,966,22,0,15433.0,0.0,3,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
715190283,Existing Customer,0.0148,0.1726,1464,28,886,3672.0,0.241,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
708300483,Attrited Customer,0.9733,0.1026,704,16,605,7882.0,0.077,4,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
827111283,Existing Customer,0.966,0.1119,1109,28,578,32426.0,0.018,2,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
758551608,Existing Customer,0.0014,0.3782,1347,28,2204,6205.0,0.355,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
773146383,Existing Customer,0.0059,0.4416,1756,33,2517,17304.0,0.145,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
778493808,Existing Customer,0.0027,0.0416,1756,32,0,3906.0,0.0,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
720572508,Existing Customer,0.5693,0.3443,1042,23,2055,9830.0,0.209,3,ENGAGE,DO NOTHING,0.0,0,0.0,Medium,Medium
712661433,Existing Customer,0.007,0.0312,1444,28,0,34516.0,0.0,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
789172683,Existing Customer,0.0004,0.2683,1741,27,1430,2283.0,0.626,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
738406533,Existing Customer,0.0003,0.3614,1719,27,2020,2548.0,0.793,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
799723908,Existing Customer,0.0068,0.2517,1217,27,1435,19458.0,0.074,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
771490833,Existing Customer,0.003,0.216,1140,40,1227,4745.0,0.259,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
720756708,Existing Customer,0.0009,0.2918,1878,30,1549,2622.0,0.591,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
779471883,Attrited Customer,0.9735,0.1349,705,19,808,1438.3,0.562,3,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
711525033,Existing Customer,0.0017,0.3942,1946,38,2179,3171.0,0.687,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
712813458,Existing Customer,0.0272,0.4302,1414,35,2517,19763.0,0.127,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
714374133,Attrited Customer,0.9974,0.0031,602,15,0,15769.0,0.0,3,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
717891558,Existing Customer,0.0392,0.3677,1052,32,2200,3298.0,0.667,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
716632758,Existing Customer,0.1769,0.4017,1295,40,2363,2802.0,0.843,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
768563658,Existing Customer,0.0004,0.3293,1424,29,1880,4458.0,0.422,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
711427458,Existing Customer,0.0003,0.1838,1359,25,978,6273.0,0.156,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
714091983,Existing Customer,0.0041,0.3006,1168,27,1753,3336.0,0.525,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
787584108,Existing Customer,0.011,0.34,1097,33,2016,3436.0,0.587,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
712030833,Attrited Customer,0.9974,0.006,691,15,0,34516.0,0.0,4,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
711481533,Existing Customer,0.0019,0.2257,1316,28,1251,5926.0,0.211,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
710082708,Existing Customer,0.2044,0.3596,1276,26,2102,23957.0,0.088,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
708155733,Existing Customer,0.0015,0.2857,1289,23,1634,14734.0,0.111,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
788979258,Existing Customer,0.0061,0.2669,1293,32,1515,34516.0,0.044,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
807986133,Existing Customer,0.0039,0.3169,1353,35,1817,6584.0,0.276,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
788730933,Existing Customer,0.0721,0.2541,1132,28,1468,2084.0,0.704,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
711314058,Existing Customer,0.0032,0.2146,1670,17,1107,1687.0,0.656,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
717975333,Existing Customer,0.2429,0.2223,837,15,1330,25300.0,0.053,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
715971108,Existing Customer,0.001,0.3149,1550,41,1763,34516.0,0.051,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
720096558,Existing Customer,0.0203,0.1987,1540,36,1034,2216.0,0.467,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
719580033,Existing Customer,0.0065,0.3475,1256,21,2030,2910.0,0.698,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
820582308,Existing Customer,0.0145,0.2723,1394,35,1528,22913.0,0.067,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
789973308,Existing Customer,0.0012,0.3348,1341,24,1932,24312.0,0.079,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
712876233,Existing Customer,0.0078,0.2668,1289,33,1515,5272.0,0.287,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
804595158,Existing Customer,0.0324,0.4201,1112,23,2517,7000.0,0.36,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
714826758,Existing Customer,0.0125,0.3473,2339,57,1801,7038.0,0.256,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
779058108,Existing Customer,0.0033,0.3217,1468,23,1823,2536.0,0.719,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
710790258,Existing Customer,0.0073,0.3293,1334,35,1899,28904.0,0.066,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
715623483,Existing Customer,0.0001,0.301,1457,41,1695,8567.0,0.198,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
715156383,Existing Customer,0.0043,0.2801,1603,29,1533,34516.0,0.044,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
711013983,Attrited Customer,0.9949,0.0035,615,12,0,2158.0,0.0,4,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
755420433,Existing Customer,0.3918,0.2438,1068,20,1417,10133.0,0.14,3,ENGAGE,DO NOTHING,0.0,0,0.0,Medium,Low
794543958,Existing Customer,0.0006,0.2298,1590,27,1219,34516.0,0.035,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
716396358,Existing Customer,0.0011,0.3376,1531,35,1910,3085.0,0.619,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
715398033,Existing Customer,0.003,0.3502,1212,31,2056,19040.0,0.108,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
711743883,Existing Customer,0.2618,0.0243,1237,32,0,4026.0,0.0,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
719720058,Existing Customer,0.0006,0.1632,1413,14,837,12756.0,0.066,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
778992108,Existing Customer,0.003,0.0336,1516,29,0,5266.0,0.0,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
717539808,Existing Customer,0.0237,0.0256,1276,21,0,9930.0,0.0,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
714070758,Existing Customer,0.0004,0.3456,1564,35,1953,31302.0,0.062,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
714107958,Existing Customer,0.2381,0.0319,1465,34,0,6576.0,0.0,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
789140283,Existing Customer,0.0033,0.3496,1286,29,2037,2664.0,0.765,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
715550508,Existing Customer,0.0005,0.4145,1312,20,2440,2535.0,0.963,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
719712633,Existing Customer,0.0018,0.1811,1673,32,895,1709.0,0.524,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
772629333,Existing Customer,0.0261,0.2175,1313,30,1200,3454.0,0.347,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
720336708,Existing Customer,0.0027,0.3078,1609,42,1706,3789.0,0.45,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
802013583,Existing Customer,0.0019,0.3792,1158,19,2250,9689.0,0.232,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
711887583,Attrited Customer,0.9867,0.2696,836,18,1628,5449.0,0.299,3,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
714778833,Existing Customer,0.0018,0.3375,1289,22,1960,23032.0,0.085,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
713843283,Existing Customer,0.0102,0.3589,1487,26,2053,34516.0,0.059,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
779155158,Existing Customer,0.0058,0.2259,1259,33,1264,2940.0,0.43,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
721091583,Existing Customer,0.0053,0.3249,1298,15,1879,3031.0,0.62,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
713572683,Existing Customer,0.0561,0.0239,1226,34,0,1862.0,0.0,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
716657058,Existing Customer,0.6848,0.1824,1566,37,926,8358.0,0.111,3,ENGAGE,DO NOTHING,0.0,0,0.0,Medium,Low
779509983,Existing Customer,0.0085,0.165,1022,21,931,34516.0,0.027,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
717929133,Existing Customer,0.0027,0.412,1235,30,2440,14450.0,0.169,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
808284783,Existing Customer,0.0713,0.0481,1951,44,0,1438.3,0.0,0,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
708476808,Existing Customer,0.0029,0.3294,1047,31,1960,33791.0,0.058,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
710916408,Existing Customer,0.005,0.3275,1342,32,1886,8466.0,0.223,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
708492558,Existing Customer,0.009,0.1574,1107,21,865,15088.0,0.057,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
799825758,Existing Customer,0.0033,0.2908,1251,35,1674,3263.0,0.513,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
718619883,Existing Customer,0.005,0.1387,1305,24,706,1494.0,0.473,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
711844758,Existing Customer,0.0003,0.235,1388,37,1294,13551.0,0.095,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
714798783,Existing Customer,0.0004,0.1664,1235,18,895,18886.0,0.047,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
826762908,Existing Customer,0.0191,0.255,2089,36,1273,11976.0,0.106,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
771894558,Existing Customer,0.0008,0.285,1626,25,1559,9964.0,0.156,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
721074183,Existing Customer,0.0151,0.2101,1111,24,1196,24159.0,0.05,6,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
715259583,Existing Customer,0.0043,0.3369,1553,38,1901,5362.0,0.355,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
718414008,Existing Customer,0.1839,0.1811,1064,13,1023,34516.0,0.03,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
719666283,Existing Customer,0.0011,0.3345,1243,29,1951,3174.0,0.615,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
714877233,Existing Customer,0.0002,0.3301,1659,38,1836,12262.0,0.15,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
785387883,Existing Customer,0.0579,0.2809,1594,47,1540,3788.0,0.407,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
771075258,Existing Customer,0.5465,0.268,1268,42,1527,34516.0,0.044,3,ENGAGE,DO NOTHING,0.0,0,0.0,Medium,Low
711318033,Existing Customer,0.0166,0.0265,1304,24,0,2926.0,0.0,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
783554958,Existing Customer,0.0238,0.0286,1368,30,0,32090.0,0.0,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
720201033,Attrited Customer,0.7953,0.3609,720,23,2227,11669.0,0.191,3,ENGAGE,DO NOTHING,0.0,0,0.0,High,Medium
718039683,Existing Customer,0.001,0.2403,1521,29,1300,13532.0,0.096,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
710806083,Existing Customer,0.0075,0.3531,1137,30,2090,11888.0,0.176,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
714752208,Existing Customer,0.1609,0.3311,978,16,1985,2393.0,0.83,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
822063408,Existing Customer,0.0033,0.4237,1221,16,2517,6111.0,0.412,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
714490308,Existing Customer,0.0005,0.2993,1565,28,1662,19270.0,0.086,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
713356833,Existing Customer,0.0016,0.4357,1578,34,2517,3710.0,0.678,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
711402333,Existing Customer,0.1716,0.1595,1493,32,797,3235.0,0.246,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
708296883,Existing Customer,0.001,0.1475,1178,27,788,11749.0,0.067,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
719154483,Existing Customer,0.3272,0.3498,991,26,2100,7753.0,0.271,3,ENGAGE,DO NOTHING,0.0,0,0.0,Medium,Medium
717721458,Existing Customer,0.0013,0.2569,2560,42,1186,10408.0,0.114,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
711112683,Existing Customer,0.0003,0.2875,1657,29,1568,3967.0,0.395,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
715674483,Existing Customer,0.0234,0.4232,1204,19,2517,6205.0,0.406,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
789322833,Attrited Customer,0.9887,0.0054,673,18,0,8025.0,0.0,3,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
789968058,Existing Customer,0.0302,0.3905,1131,18,2327,9036.0,0.258,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
709919283,Existing Customer,0.0046,0.4356,1576,25,2517,14926.0,0.169,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
718744008,Existing Customer,0.0319,0.2029,1217,20,1128,6335.0,0.178,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
767712558,Attrited Customer,0.9889,0.0007,530,10,0,14979.0,0.0,3,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
712950783,Attrited Customer,0.9905,0.0076,739,16,0,2732.0,0.0,2,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
716104983,Existing Customer,0.0016,0.3734,1617,31,2117,2250.0,0.941,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
818839983,Existing Customer,0.0002,0.2802,1592,34,1536,10916.0,0.141,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
772288758,Existing Customer,0.0009,0.223,1343,30,1228,5349.0,0.23,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
712350858,Existing Customer,0.0052,0.2019,1303,39,1104,9366.0,0.118,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
711009708,Existing Customer,0.0095,0.0281,1351,22,0,21617.0,0.0,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
712720158,Existing Customer,0.0006,0.3093,1910,32,1652,13860.0,0.119,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
712215258,Existing Customer,0.783,0.0263,1298,22,0,18386.0,0.0,2,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
773827008,Existing Customer,0.0017,0.264,1087,29,1540,2405.0,0.64,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
795232683,Existing Customer,0.0008,0.1788,1439,26,930,2154.0,0.432,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
713786508,Existing Customer,0.2819,0.0243,1238,28,0,2038.0,0.0,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
713539833,Existing Customer,0.0073,0.0403,1716,29,0,8135.0,0.0,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
712454058,Existing Customer,0.0171,0.1179,1099,27,618,9364.0,0.066,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
718759833,Existing Customer,0.0057,0.0183,1058,24,0,32643.0,0.0,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
718803333,Existing Customer,0.1155,0.3364,1285,29,1954,3195.0,0.612,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
720253908,Existing Customer,0.0017,0.2008,1651,28,1024,2852.0,0.359,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
714133158,Existing Customer,0.3441,0.2288,1152,31,1305,4224.0,0.309,3,ENGAGE,DO NOTHING,0.0,0,0.0,Medium,Low
713187033,Existing Customer,0.0004,0.3711,1767,38,2071,20459.0,0.101,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
714791208,Existing Customer,0.342,0.3536,1039,24,2114,3482.0,0.607,5,ENGAGE,DO NOTHING,0.0,0,0.0,Medium,Medium
772426383,Existing Customer,0.0012,0.2702,1130,28,1570,3065.0,0.512,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
710975883,Existing Customer,0.0339,0.3177,1645,30,1761,2185.0,0.806,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
714264408,Existing Customer,0.0024,0.1487,1413,29,746,1611.0,0.463,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
715827858,Existing Customer,0.0006,0.369,1218,23,2173,2822.0,0.77,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
713741358,Attrited Customer,0.755,0.4029,597,17,2517,32975.0,0.076,3,ENGAGE,DO NOTHING,0.0,0,0.0,High,Medium
709531908,Existing Customer,0.252,0.0559,2184,53,0,1438.3,0.0,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
716493408,Existing Customer,0.0029,0.3093,1592,37,1719,15875.0,0.108,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
714141108,Existing Customer,0.0105,0.1712,1388,28,893,6703.0,0.133,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
708953883,Attrited Customer,0.9946,0.0082,757,20,0,3212.0,0.0,2,DO NOTHING,DO NOTHING,0.0,0,0.0,High,Low
712608783,Existing Customer,0.0055,0.2334,1504,34,1260,34516.0,0.037,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
820353558,Existing Customer,0.004,0.261,1503,34,1434,9797.0,0.146,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
714964758,Existing Customer,0.0098,0.3023,1105,28,1777,10400.0,0.171,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
716264358,Existing Customer,0.0229,0.3548,2398,47,1836,26792.0,0.069,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
717296808,Existing Customer,0.001,0.4384,1661,32,2517,3006.0,0.837,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
712977183,Existing Customer,0.0009,0.2008,1421,22,1072,19482.0,0.055,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
710829108,Existing Customer,0.1322,0.1729,999,28,985,3356.0,0.294,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
779562633,Existing Customer,0.0008,0.3865,1387,18,2248,5771.0,0.39,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
715315833,Existing Customer,0.002,0.3593,1243,24,2107,11106.0,0.19,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
815500983,Existing Customer,0.0004,0.3631,1860,36,2001,2890.0,0.692,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
719360583,Existing Customer,0.0007,0.3034,1502,25,1701,3380.0,0.503,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
709701558,Existing Customer,0.0064,0.2305,1460,50,1251,21331.0,0.059,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
721148358,Existing Customer,0.1966,0.028,1348,27,0,12860.0,0.0,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
779862408,Existing Customer,0.0151,0.0927,1087,33,462,6278.0,0.074,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
812627208,Existing Customer,0.0089,0.1412,1226,33,738,1438.3,0.513,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
711033408,Existing Customer,0.0012,0.2824,1230,28,1626,9355.0,0.174,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
779956608,Existing Customer,0.0158,0.0349,1555,32,0,20758.0,0.0,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
780376683,Existing Customer,0.0006,0.358,1827,24,1976,14612.0,0.135,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
717912483,Existing Customer,0.0338,0.0289,1376,35,0,27259.0,0.0,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
